,0,1,2,3
362,"Feb 7, 2022, 1:00:00",SOLUSDT,0.01,0.03
363,"Feb 7, 2022, 1:00:00",BNBUSDT,0.01,0.03
364,"Feb 7, 2022, 1:00:00",ADAUSDT,0.01,0.03
365,"Feb 7, 2022, 1:00:00",DOTUSDT,0.01,0.03
366,"Feb 7, 2022, 1:00:00",DOGEUSDT,0.01,0.03
367,"Feb 7, 2022, 1:00:00",LTCUSD,0.01,0.03
368,"Feb 7, 2022, 1:00:00",BCHUSD,0.01,0.03
369,"Feb 7, 2022, 1:00:00",XRPUSD,0.01,0.03
370,"Feb 7, 2022, 1:00:00",ETHUSD,0.01,0.03
371,"Feb 7, 2022, 1:00:00",XBTUSD,-0.0116,-0.0348
372,"Feb 7, 2022, 5:00:00",MANAUSDT,0.01,0.03
373,"Feb 7, 2022, 5:00:00",SANDUSDT,0.01,0.03
374,"Feb 7, 2022, 5:00:00",FTMUSDT,0.01,0.03
375,"Feb 7, 2022, 5:00:00",SHIBUSDT,0.01,0.03
376,"Feb 7, 2022, 5:00:00",LTCUSDT,0.01,0.03
377,"Feb 7, 2022, 5:00:00",BCHUSDT,0.01,0.03
378,"Feb 7, 2022, 5:00:00",XRPUSDT,0.01,0.03
379,"Feb 7, 2022, 5:00:00",ETHUSDT,0.01,0.03
380,"Feb 7, 2022, 5:00:00",XBTUSDT,0.01,0.03
381,"Feb 7, 2022, 5:00:00",SOLUSD,0.0465,0.1395
382,"Feb 7, 2022, 5:00:00",LINKUSD,0.0129,0.0387
383,"Feb 7, 2022, 5:00:00",EOSUSD,0.01,0.03
384,"Feb 7, 2022, 5:00:00",AXSUSD,-0.0747,-0.2241
385,"Feb 7, 2022, 5:00:00",DOTUSD,0.01,0.03
